"Area","MTU","Solar  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Germany (DE)","03.01.2022 16:30 - 03.01.2022 16:45 (UTC)","0","5648","32103"
"Germany (DE)","03.01.2022 16:45 - 03.01.2022 17:00 (UTC)","0","5466","32093"
"Germany (DE)","03.01.2022 17:00 - 03.01.2022 17:15 (UTC)","0","5449","32290"
"Germany (DE)","03.01.2022 17:15 - 03.01.2022 17:30 (UTC)","0","5449","32266"
"Germany (DE)","03.01.2022 17:30 - 03.01.2022 17:45 (UTC)","0","5450","32327"
"Germany (DE)","03.01.2022 17:45 - 03.01.2022 18:00 (UTC)","0","5440","32072"
"Germany (DE)","03.01.2022 18:00 - 03.01.2022 18:15 (UTC)","0","5453","31779"
"Germany (DE)","03.01.2022 18:15 - 03.01.2022 18:30 (UTC)","0","5446","31102"
"Germany (DE)","03.01.2022 18:30 - 03.01.2022 18:45 (UTC)","0","5462","30370"
"Germany (DE)","03.01.2022 18:45 - 03.01.2022 19:00 (UTC)","0","5460","29957"
"Germany (DE)","03.01.2022 19:00 - 03.01.2022 19:15 (UTC)","0","5267","29591"
"Germany (DE)","03.01.2022 19:15 - 03.01.2022 19:30 (UTC)","0","5134","29031"
"Germany (DE)","03.01.2022 19:30 - 03.01.2022 19:45 (UTC)","0","5104","28583"
"Germany (DE)","03.01.2022 19:45 - 03.01.2022 20:00 (UTC)","0","5124","28089"
"Germany (DE)","03.01.2022 20:00 - 03.01.2022 20:15 (UTC)","0","5131","27966"
"Germany (DE)","03.01.2022 20:15 - 03.01.2022 20:30 (UTC)","0","5069","27480"
"Germany (DE)","03.01.2022 20:30 - 03.01.2022 20:45 (UTC)","0","5020","27089"
"Germany (DE)","03.01.2022 20:45 - 03.01.2022 21:00 (UTC)","0","5309","26420"
"Germany (DE)","03.01.2022 21:00 - 03.01.2022 21:15 (UTC)","0","5476","25314"
"Germany (DE)","03.01.2022 21:15 - 03.01.2022 21:30 (UTC)","0","5456","25030"
"Germany (DE)","03.01.2022 21:30 - 03.01.2022 21:45 (UTC)","0","5450","24736"
"Germany (DE)","03.01.2022 21:45 - 03.01.2022 22:00 (UTC)","0","5534","24163"
"Germany (DE)","03.01.2022 22:00 - 03.01.2022 22:15 (UTC)","0","5442","23734"
